3,"[7231.4194775151345, 6227.77617805888, 4413.990127490695]","[[ 0.97878073, -0.1191498, -0.16670815], [-0.1984397, -0.75399847, -0.62618527], [-0.05108784, 0.6459796, -0.76164322]]"
4,"[9058.99598421382, -5817.115808475929, 4791.87969223898]","[[-0.94394907, -0.19082778, -0.26934164], [-0.31320479, 0.77542412, 0.54828843], [0.10422534, 0.60191544, -0.79172905]]"
5,"[4600.4921159219875, -6017.684706935452, 4378.116134441375]","[[-0.9991517, -0.0276953, -0.0304769], [-0.0411633,  0.6933377,  0.7194362], [0.0012058,  0.7200804, -0.6938896]]"
6,"[526.8575593558775, -5600.212355673482, 4850.00]","[[-1.0000000,  0.0000000, -0.0000000], [0.0000000,  0.7986355,  0.6018150], [0.0000000,  0.6018150, -0.7986355]]"
7,"[-4241.029335901689, -5688.337420494916, 4832.7641823037575]","[[-0.8666847,  0.4986474, -0.0144374], [0.3612382,  0.6472913,  0.6712086], [0.3440416,  0.5765109, -0.7411279]]"
107,"[-4241.029335901689, -5688.337420494916, 4832.7641823037575]","[[-0.99622057, 0.08565121, -0.01443738], [0.05698703, 0.7699524, 0.63555155], [0.06555185, 0.63232679, -0.77192343]]"
